host,port,protocol,latency_version,latency_banner,latency_ping,latency_history,supports_p2pkh,supports_p2wpkh,supports_p2tr,error_version,error_banner,error_ping,error_history,response_hash_version,response_hash_banner,response_hash_ping,response_hash_history
116.202.30.237,50002,ssl,231.5061092376709,230.2079200744629,234.37213897705078,232.8507900238037,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
35.244.75.164,50001,tcp,309.9491596221924,316.0722255706787,310.5649948120117,316.78199768066406,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
96.237.231.17,50002,ssl,151.72290802001953,155.9760570526123,154.69622611999512,420.90606689453125,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,12a47445feef11310f9d612f38d07ae06178e6dcaeea4d18e34517b2033168cd,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
134.199.136.239,50001,tcp,195.41001319885254,194.22006607055664,192.55709648132324,191.95985794067383,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
198.244.201.86,50001,tcp,219.4211483001709,219.84410285949707,222.47815132141113,218.21117401123047,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.171.34.8,50001,tcp,155.5960178375244,157.22393989562988,154.30903434753418,176.63216590881348,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.83.18.93,50002,ssl,219.50984001159668,215.23308753967285,208.5287570953369,208.95671844482422,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.101.170.221,50001,tcp,347.0499515533447,348.8929271697998,348.3538627624512,354.79116439819336,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
86.206.48.92,50002,ssl,221.07410430908203,423.4299659729004,933.3329200744629,1427.2711277008057,True,True,True,ok,ok,ok,ok,258f4b0e7cacae2d95a56d2b45d8a1c6e059bd34535a436dfb18c1f7531c3c99,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e
35.238.228.147,50001,tcp,155.82799911499023,154.77418899536133,154.25515174865723,164.32690620422363,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.64.177.133,50001,tcp,302.20699310302734,303.9212226867676,307.2521686553955,299.75295066833496,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
203.132.94.196,50001,tcp,351.1021137237549,356.1718463897705,350.04377365112305,353.1169891357422,True,True,True,ok,ok,ok,ok,f7b2552df8e6e067391e706a3181a72c1455deb88e1d4cedefded56c83f4fbcd,6b208b1a648eb2465b9bfdb02b003d85b4b7cc1c8624a545b29b4a38636e74fb,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
84.234.98.29,50001,tcp,253.4770965576172,255.54895401000977,254.4562816619873,254.06408309936523,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
137.184.244.174,50001,tcp,191.82586669921875,196.793794631958,192.4431324005127,192.4281120300293,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
104.198.149.61,50001,tcp,157.4418544769287,154.42514419555664,152.6648998260498,189.57996368408203,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
159.69.189.9,50002,ssl,227.8749942779541,235.48197746276855,229.9177646636963,238.7089729309082,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.96.220.189,50001,tcp,321.0258483886719,322.314977645874,324.7640132904053,317.7909851074219,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.18.69.244,50001,tcp,295.72129249572754,294.0542697906494,297.4858283996582,299.21913146972656,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.189.13.187,50001,tcp,313.3828639984131,315.42491912841797,317.7027702331543,315.25182723999023,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.128.68.204,50001,tcp,357.9263687133789,365.401029586792,349.869966506958,350.47125816345215,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
